Location Title,Latitude {N+/S-},Longitude {E+/W-},TimeZone {+/- GMT},Elevation {m}
LOCATION_AHMEDABAD_-_IND_Custom-426470_426470,23.07,72.63,5.5,55.0
Number of Design Conditions,Title of Design Condition,,Design Stat,ColdestMonth,DB996,DB990,DP996,HR_DP996,DB_DP996,DP990,HR_DP990,DB_DP990,WS004c,DB_WS004c,WS010c,DB_WS010c,WS_DB996,WD_DB996,Design Stat,HottestMonth,DBR,DB004,WB_DB004,DB010,WB_DB010,DB020,WB_DB020,WB004,DB_WB004,WB010,DB_WB010,WB020,DB_WB020,WS_DB004,WD_DB004,DP004,HR_DP004,DB_DP004,DP010,HR_DP010,DB_DP010,DP020,HR_DP020,DB_DP020,EN004,DB_EN004,EN010,DB_EN010,EN020,DB_EN020,#Hrs_8-4_&_DB-12.8/20.6,Design Stat,WS010,WS025,WS050,WBmax,DBmin_mean,DBmax_mean,DBmin_stddev,DBmax_stddev,DBmin05years,DBmax05years,DBmin10years,DBmax10years,DBmin20years,DBmax20years,DBmin50years,DBmax50years
,,,Units,{},{°C},{°C},{°C},{},{°C},{°C},{},{°C},{m/s},{°C},{m/s},{°C},{m/s},{deg},Units,{},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{m/s},{deg},{°C},{},{°C},{°C},{},{°C},{°C},{},{°C},{kJ/kg},{°C},{kJ/kg},{°C},{kJ/kg},{°C},{},Units,{m/s},{m/s},{m/s},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C}
1,Climate Design Data 2013 ASHRAE Handbook,,Heating,1,11,12.3,-2.3,3.1,24.6,0,3.8,24.8,7.3,22.3,6.3,22.7,1.1,50,Cooling,5,13,42.1,23,41,22.8,39.9,22.9,28.5,33.7,28,32.7,27.5,32.1,3.6,270,27.3,23.3,30.6,26.9,22.8,30.1,26.4,22.1,29.7,93.2,33.7,90.4,32.9,88.3,32,180,Extremes,6.9,6,5.3,32.2,7.6,44.1,2,1.2,6.2,45,5,45.7,3.9,46.4,2.4,47.3
Number of Typical/Extreme Periods,Period Name,Period Type,Period Start Day,Period End Day,<repeat to # periods>
6,Summer - Week Nearest Max Temperature For Period,Extreme,5/20,5/26,Summer - Week Nearest Average Temperature For Period,Typical,4/29,5/ 5,Winter - Week Nearest Min Temperature For Period,Extreme,12/24,12/30,Winter - Week Nearest Average Temperature For Period,Typical,11/19,11/25,Autumn - Week Nearest Average Temperature For Period,Typical,7/15,7/21,Spring - Week Nearest Average Temperature For Period,Typical,2/19,2/25
Number of Ground Temperature Depths,Ground Temperature Depth {m},Soil Conductivity {W/m-K},Soil Density {kg/m3},Soil Specific Heat {J/kg-K},Jan {C},Feb{C},Mar {C},Apr {C},May {C},Jun {C},Jul {C},Aug {C},Sep {C},Oct {C},Nov {C},Dec {C},<repeat to Number of temperature depths>
3,.5,,,,25.26,24.69,25.71,27.31,31.50,34.73,36.91,37.57,36.44,33.93,30.58,27.47,2,,,,27.39,26.36,26.57,27.42,30.22,32.75,34.78,35.87,35.63,34.21,31.90,29.45,4,,,,29.14,28.09,27.86,28.18,29.76,31.47,33.03,34.12,34.38,33.76,32.40,30.75
Leap Year Observed?,Daylight Saving Start Date,Daylight Saving End Date,Number of Holidays,Holiday Name,Holiday Date,<repeat for # Holidays>
No,0,0,0
Comment Line #1
Custom/User Format -- WMO#426470
Comment Line #2
 -- Ground temps produced with a standard soil diffusivity of 2.3225760E-03 {m**2/day}
Number of Data Periods [DP],Number of Intervals per Hour,DP Name/Description,DP Start Day of Week,DP Start Day, DP End Day,<repeat to # Data Periods>
1,1,Data,Sunday, 1/ 1,12/31
Date,HH:MM,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},HorzIRSky {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,Precip Wtr {mm},Aerosol Opt Depth {.001},SnowDepth {cm},Days Last Snow,Albedo {.01},Rain {mm},Rain Quantity {hr}
Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
2056/1/1,01:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,16.1,12.5,79,100870,9999,9999,326,0,0,0,999900,999900,999900,99990,180,0.0,0,0,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,02:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,15.5,11.7,78,100870,9999,9999,322,0,0,0,999900,999900,999900,99990,180,0.0,0,0,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,03:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,16.6,10.0,65,100870,9999,9999,326,0,0,0,999900,999900,999900,99990,180,0.0,0,0,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,04:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,15.6,11.0,74,100870,9999,9999,322,0,0,0,999900,999900,999900,99990,180,0.0,0,0,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,05:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,14.6,9.2,70,100770,9999,9999,316,0,0,0,999900,999900,999900,99990,180,0.0,0,0,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,06:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,15.6,9.5,67,100770,9999,9999,320,0,0,0,999900,999900,999900,99990,180,0.0,0,0,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,07:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,15.1,9.3,68,100770,9999,9999,318,0,0,0,999900,999900,999900,99990,180,0.0,0,0,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,08:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,15.4,7.4,59,100870,9999,9999,317,25,0,25,999900,999900,999900,99990,180,0.0,0,0,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,09:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,21.2,7.4,41,100970,9999,9999,344,178,438,77,999900,999900,999900,99990,180,0.0,0,0,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,10:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,24.6,5.9,30,101070,9999,9999,358,384,685,102,999900,999900,999900,99990,180,0.0,0,0,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,11:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,26.9,7.4,29,101070,9999,9999,371,562,815,109,999900,999900,999900,99990,180,0.0,0,0,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,12:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,28.8,-0.3,15,100970,9999,9999,370,685,877,114,999900,999900,999900,99990,180,0.0,0,0,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
