Location Title,Latitude {N+/S-},Longitude {E+/W-},TimeZone {+/- GMT},Elevation {m}
LOCATION_BENGALURU_-_IND_Custom-432950_432950,12.97,77.58,5.5,921.0
Number of Design Conditions,Title of Design Condition,,Design Stat,ColdestMonth,DB996,DB990,DP996,HR_DP996,DB_DP996,DP990,HR_DP990,DB_DP990,WS004c,DB_WS004c,WS010c,DB_WS010c,WS_DB996,WD_DB996,Design Stat,HottestMonth,DBR,DB004,WB_DB004,DB010,WB_DB010,DB020,WB_DB020,WB004,DB_WB004,WB010,DB_WB010,WB020,DB_WB020,WS_DB004,WD_DB004,DP004,HR_DP004,DB_DP004,DP010,HR_DP010,DB_DP010,DP020,HR_DP020,DB_DP020,EN004,DB_EN004,EN010,DB_EN010,EN020,DB_EN020,#Hrs_8-4_&_DB-12.8/20.6,Design Stat,WS010,WS025,WS050,WBmax,DBmin_mean,DBmax_mean,DBmin_stddev,DBmax_stddev,DBmin05years,DBmax05years,DBmin10years,DBmax10years,DBmin20years,DBmax20years,DBmin50years,DBmax50years
,,,Units,{},{°C},{°C},{°C},{},{°C},{°C},{},{°C},{m/s},{°C},{m/s},{°C},{m/s},{deg},Units,{},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{m/s},{deg},{°C},{},{°C},{°C},{},{°C},{°C},{},{°C},{kJ/kg},{°C},{kJ/kg},{°C},{kJ/kg},{°C},{},Units,{m/s},{m/s},{m/s},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C}
1,Climate Design Data 2013 ASHRAE Handbook,,Heating,12,15.2,15.9,2.2,4.9,28.2,4.4,5.8,27.4,5.4,20.5,4.4,21.1,1.3,90,Cooling,4,10.3,34.2,19.8,33.4,19.8,32.6,19.8,23.6,28.9,23.1,28.3,22.7,27.7,1.5,90,22.2,19,25.4,21.7,18.4,24.9,21.4,17.9,24.5,75.9,29,73.9,28.5,72.2,27.9,166,Extremes,5.5,4.8,4.1,29.1,13.5,36.3,0.9,0.9,12.8,37,12.3,37.5,11.9,38,11.2,38.6
Number of Typical/Extreme Periods,Period Name,Period Type,Period Start Day,Period End Day,<repeat to # periods>
8,Wet Season - Week Near Average For Period,Typical,9/25,10/ 1,Dry Season - Week Near Average For Period,Typical,2/10,2/16,Summer - Week Nearest Max Temperature For Period,Extreme,4/12,4/18,Summer - Week Nearest Average Temperature For Period,Typical,5/10,5/16,Winter - Week Nearest Min Temperature For Period,Extreme,11/17,11/23,Winter - Week Nearest Average Temperature For Period,Typical,10/27,11/ 2,Autumn - Week Nearest Average Temperature For Period,Typical,8/ 3,8/ 9,Spring - Week Nearest Average Temperature For Period,Typical,1/27,2/ 2
Number of Ground Temperature Depths,Ground Temperature Depth {m},Soil Conductivity {W/m-K},Soil Density {kg/m3},Soil Specific Heat {J/kg-K},Jan {C},Feb{C},Mar {C},Apr {C},May {C},Jun {C},Jul {C},Aug {C},Sep {C},Oct {C},Nov {C},Dec {C},<repeat to Number of temperature depths>
3,.5,,,,21.61,21.28,21.87,22.78,25.16,27.01,28.25,28.63,27.98,26.55,24.64,22.87,2,,,,22.82,22.24,22.35,22.84,24.44,25.88,27.03,27.65,27.52,26.71,25.40,24.00,4,,,,23.82,23.22,23.09,23.27,24.18,25.15,26.04,26.66,26.81,26.45,25.68,24.74
Leap Year Observed?,Daylight Saving Start Date,Daylight Saving End Date,Number of Holidays,Holiday Name,Holiday Date,<repeat for # Holidays>
No,0,0,0
Comment Line #1
Custom/User Format -- WMO#432950
Comment Line #2
 -- Ground temps produced with a standard soil diffusivity of 2.3225760E-03 {m**2/day}
Number of Data Periods [DP],Number of Intervals per Hour,DP Name/Description,DP Start Day of Week,DP Start Day, DP End Day,<repeat to # Data Periods>
1,1,Data,Sunday, 1/ 1,12/31
Date,HH:MM,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},HorzIRSky {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,Precip Wtr {mm},Aerosol Opt Depth {.001},SnowDepth {cm},Days Last Snow,Albedo {.01},Rain {mm},Rain Quantity {hr}
Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
2056/1/1,01:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,17.9,17.9,100,91661,9999,9999,340,0,0,0,999900,999900,999900,99990,90,1.6,0,0,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,02:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,17.5,17.5,100,91561,9999,9999,338,0,0,0,999900,999900,999900,99990,90,1.6,0,0,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,03:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,17.1,17.1,100,91561,9999,9999,335,0,0,0,999900,999900,999900,99990,90,1.6,0,0,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,04:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,16.8,16.8,100,91561,9999,9999,334,0,0,0,999900,999900,999900,99990,90,1.4,0,0,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,05:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,16.5,16.5,100,91561,9999,9999,332,0,0,0,999900,999900,999900,99990,90,0.8,0,0,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,06:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,16.1,16.1,100,91561,9999,9999,330,0,0,0,999900,999900,999900,99990,90,1.0,0,0,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,07:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,16.0,16.0,100,91561,9999,9999,329,2,0,2,999900,999900,999900,99990,90,1.6,0,0,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,08:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,16.1,16.1,100,91661,9999,9999,341,131,377,66,999900,999900,999900,99990,90,1.6,2,2,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,09:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,18.0,16.2,89,91761,9999,9999,356,336,586,110,999900,999900,999900,99990,90,1.6,4,4,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,10:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,20.0,15.7,76,91761,9999,9999,365,543,725,133,999900,999900,999900,99990,90,1.3,4,4,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,11:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,22.7,14.8,61,91761,9999,9999,378,713,811,143,999900,999900,999900,99990,90,1.6,4,4,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
2056/1/1,12:00,?9?9?9?9E0?9?9?9?9*9?9*9?9?9?9?9?9?9*9*_?9*9*9?9?9,24.4,14.5,54,91761,9999,9999,383,833,882,141,999900,999900,999900,99990,90,1.6,3,3,999.0,999,9,'999999999,0,0.0000,0,88,999.000,0.0,1.0
